🕘️更新时间,#genre#
2026-09-07 13:39:59,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8

🍄┃广东频道,#genre#
南国都市,http://tencentplaygzrb01.gztv.com/live/nanguodushi.m3u8
广东珠江,http://home.szjim.top:4000/rtp/239.77.0.1:5146
广东卫视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdwshd
广东卫视,http://n2.192372.xyz:8888/rtp/239.3.1.142:8048?
大湾区卫视,http://home.szjim.top:4000/udp/239.77.0.215:5146
广东体育,http://home.szjim.top:4000/udp/239.77.0.112:5146
深圳卫视,http://n2.192372.xyz:8888/rtp/239.3.1.134:8020?
深圳卫视,http://drive.mxmy.net:8888/udp/239.3.1.134:8020

🍉┃咪咕频道,#genre#
CCTV-01咪咕,http://bztv.tvbus.cc:8081/cdnlive/cctv1.m3u8
CCTV-01咪咕,http://n2.192372.xyz:8888/rtp/239.3.1.129:8008?
CCTV-01咪咕,http://221.13.235.175:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-01咪咕,http://101.66.198.251:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-02咪咕,http://173.208.212.130:8181/1080p/cctv2.m3u8
CCTV-02咪咕,http://204.12.221.218:8181/3m1080p/cctv2.m3u8
CCTV-02咪咕,http://107.150.60.122/live/cctv2hd.m3u8
CCTV-02咪咕,http://n2.192372.xyz:8888/rtp/239.3.1.60:8084?
CCTV-02咪咕,http://drive.mxmy.net:8888/udp/239.3.1.60:8084
CCTV-02咪咕,http://101.66.198.251:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-03咪咕,http://n2.192372.xyz:8888/rtp/239.3.1.172:8001?
CCTV-03咪咕,http://101.66.198.251:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-04咪咕,http://107.150.60.122/live/cctv4hd.m3u8
CCTV-04咪咕,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.214:4220?
CCTV-04咪咕,http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
CCTV-04咪咕,http://n2.192372.xyz:8888/rtp/239.3.1.213:4220?
CCTV-04咪咕,http://n2.192372.xyz:8888/rtp/239.3.1.105:8092?
CCTV-04咪咕,http://n2.192372.xyz:8888/rtp/239.3.1.214:4220?
CCTV-04咪咕,http://drive.mxmy.net:8888/udp/239.3.1.214:4220
